 WL        Abs       T%
 941.0  0.172675  67.193222
 942.0  0.172349  67.243614
 943.0  0.172147  67.274887
 944.0  0.171825  67.324783
 945.0  0.171649  67.352028
 946.0  0.171463  67.380928
 947.0  0.171125  67.433441
 948.0  0.170921  67.465096
 949.0  0.170784  67.486343
 950.0  0.170772  67.488159
 951.0  0.170256  67.568474
 952.0  0.170033  67.603088
 953.0  0.169880  67.627052
 954.0  0.169621  67.667328
 955.0  0.169381  67.704666
 956.0  0.169190  67.734467
 957.0  0.168957  67.770790
 958.0  0.168668  67.815948
 959.0  0.168463  67.848030
 960.0  0.168326  67.869377
 961.0  0.168088  67.906593
 962.0  0.167763  67.957420
 963.0  0.167554  67.990181
 964.0  0.167308  68.028732
 965.0  0.167059  68.067680
 966.0  0.166794  68.109283
 967.0  0.166602  68.139275
 968.0  0.166392  68.172256
 969.0  0.166122  68.214767
 970.0  0.165855  68.256706
 971.0  0.165633  68.291595
 972.0  0.165398  68.328499
 973.0  0.165291  68.345322
 974.0  0.165110  68.373772
 975.0  0.164951  68.398811
 976.0  0.164820  68.419449
 977.0  0.161714  68.910622
 978.0  0.165205  68.358925
 979.0  0.164277  68.505104
 980.0  0.163773  68.584724
 981.0  0.163567  68.617249
 982.0  0.163402  68.643204
 983.0  0.163179  68.678581
 984.0  0.162956  68.713860
 985.0  0.162807  68.737404
 986.0  0.162574  68.774338
 987.0  0.162445  68.794632
 988.0  0.162110  68.847794
 989.0  0.162005  68.864426
 990.0  0.161792  68.898193
 991.0  0.161594  68.929649
 992.0  0.161444  68.953499
 993.0  0.161221  68.988914
 994.0  0.161044  69.017044
 995.0  0.160915  69.037415
 996.0  0.160757  69.062622
 997.0  0.160646  69.080330
 998.0  0.160445  69.112228
 999.0  0.160502  69.103142
1000.0  0.160282  69.138145
1001.0  0.160192  69.152496
1002.0  0.160008  69.181870
1003.0  0.159850  69.207016
1004.0  0.159771  69.219574
1005.0  0.159659  69.237434
1006.0  0.159461  69.269012
1007.0  0.159308  69.293427
1008.0  0.159116  69.324112
1009.0  0.159150  69.318581
1010.0  0.159066  69.331970
1011.0  0.158872  69.363075
1012.0  0.158752  69.382118
1013.0  0.158535  69.416924
1014.0  0.158392  69.439751
1015.0  0.158016  69.499840
1016.0  0.158116  69.483948
1017.0  0.157090  69.648262
1018.0  0.157487  69.584557
1019.0  0.157414  69.596245
1020.0  0.157121  69.643181
1021.0  0.156739  69.704529
1022.0  0.156180  69.794304
1023.0  0.155829  69.850800
1024.0  0.155535  69.898117
1025.0  0.155980  69.826454
1026.0  0.156243  69.784225
1027.0  0.156231  69.786125
1028.0  0.156429  69.754272
1029.0  0.156463  69.748802
1030.0  0.156724  69.706863
1031.0  0.156784  69.697357
1032.0  0.156801  69.694565
1033.0  0.156757  69.701622
1034.0  0.156644  69.719841
1035.0  0.156607  69.725655
1036.0  0.156382  69.761917
1037.0  0.156371  69.763680
1038.0  0.156438  69.752838
1039.0  0.156602  69.726463
1040.0  0.156666  69.716316
1041.0  0.156634  69.721390
1042.0  0.156458  69.749641
1043.0  0.156404  69.758354
1044.0  0.156193  69.792252
1045.0  0.155998  69.823486
1046.0  0.156170  69.795952
1047.0  0.099104  79.596886
1048.0  0.106963  78.169456
1049.0  0.116551  76.462646
1050.0  0.125215  74.952316
1051.0  0.133694  73.503212
1052.0  0.143972  71.784012
1053.0  0.156465  69.748451
1054.0  0.155830  69.850571
1055.0  0.155750  69.863518
1056.0  0.155735  69.865891
1057.0  0.156109  69.805763
1058.0  0.156344  69.768005
1059.0  0.156390  69.760612
1060.0  0.156327  69.770683
1061.0  0.156153  69.798691
1062.0  0.156211  69.789284
1063.0  0.156149  69.799301
1064.0  0.155960  69.829674
1065.0  0.156253  69.782616
1066.0  0.156665  69.716454
1067.0  0.157136  69.640862
1068.0  0.156785  69.697144
1069.0  0.156880  69.681862
1070.0  0.156929  69.674080
1071.0  0.157027  69.658264
1072.0  0.156907  69.677574
1073.0  0.156816  69.692230
1074.0  0.156754  69.702156
1075.0  0.157053  69.654129
1076.0  0.085924  82.049438
1077.0  0.085920  82.050339
1078.0  0.083869  82.438614
1079.0  0.089755  81.328842
1080.0  0.094449  80.454613
1081.0  0.108207  77.945770
1082.0  0.121211  75.646599
1083.0  0.130138  74.107506
1084.0  0.139374  72.548050
1085.0  0.147944  71.130585
1086.0  0.155776  69.859337
1087.0  0.163813  68.578270
1088.0  0.157861  69.524757
1089.0  0.158519  69.419365
1090.0  0.159932  69.193985
1091.0  0.164879  68.410263
1092.0  0.155331  69.930916
1093.0  0.131606  73.857422
1094.0  0.148777  70.994217
1095.0  0.164911  68.405159
1096.0  0.167475  68.002541
1097.0  0.173451  67.073219
1098.0  0.166510  68.153831
1099.0  0.167228  68.041191
1100.0  0.170126  67.588615
